Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,100nF,
C2,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,330nF,
C3,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,2.2uF,
C4,CP_Radial_D10.0mm_P7.50mm,1,1000uF_50V,
"D1, D3",D_DO-34_SOD68_P7.62mm_Horizontal,2,D_Schottky,
J1,Molex_Mini-Fit_Jr_5569-10A2_2x05_P4.20mm_Horizontal,1,Conn_01x10,
Q1,TO-220-3_Vertical,1,IRLZ44N,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,100k,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1k,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,3k,
"R4, R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,30k,
R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,4.7k,
R6,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10k,
U1,D1_mini_board,1,D1Mini,
U2,TO-220-3_Vertical,1,LM7805_TO220,
U3,DIP-8_W7.62mm_LongPads,1,LMC662AIN,
U4,DIP-4_W7.62mm,1,PC817,
U5,DIP-8_W7.62mm,1,TC4422,
