Designator,Mid X,Mid Y,Rotation,Layer
C1,94.234,-63.5762,180.0,bottom
C2,111.925,-63.075,90.0,bottom
C3,107.6452,-71.5264,90.0,bottom
C4,115.443,-72.903323,270.0,top
C5,109.2454,-44.5262,90.0,bottom
D1,112.0394,-45.7454,270.0,bottom
D3,95.6564,-56.4388,90.0,bottom
J1,78.758,-45.427,0.0,top
Q1,72.399,-74.483,0.0,top
R1,102.2858,-41.91,180.0,bottom
R2,95.7834,-46.5074,90.0,bottom
R3,102.5144,-50.292,180.0,bottom
R4,109.4232,-56.7182,270.0,bottom
R5,104.6226,-70.8152,90.0,bottom
R6,97.0788,-66.0908,0.0,bottom
R7,103.124,-63.5254,0.0,bottom
U1,104.75,-51.25,0.0,top
U2,84.718,-74.427,0.0,top
U3,97.155,-72.9742,270.0,bottom
U4,102.4636,-46.1518,0.0,bottom
U5,102.5652,-56.7182,270.0,bottom
